,Community Area,STORE NAME,Program Name,Program Type,Activity Status,Reduced Meal Eligibiity,Normalized Reduced Meal Eligiblity,HARDSHIP INDEX,LATITUDE,LONGITUDE
116,EDGEWATER,CORCORANS PANTRY INC,,,,,,,41.9835447852,-87.6582676725
117,WOODLAWN,COTTAGE GROVE FOOD MART,,,,,,,41.7801519592,-87.60577752409998
118,MORGAN PARK,COUNTY FAIR FOODS,,,,,,,41.6972382088,-87.68147480420002
119,WEST GARFIELD PARK,CRESPO'S FOOD MART,,,,,,,41.880504995,-87.7351228503
120,IRVING PARK,CUENCA'S BAKERY & GROCERIES,,,,,,,41.9607675196,-87.73394692709999
121,GAGE PARK,CUPBOARD FOOD & LIQUOR,,,,,,,41.793589179499996,-87.7059457835
122,WEST ENGLEWOOD,D & A FOOD & LIQUOR,,,,,,,41.793554363,-87.6646375512
123,LOGAN SQUARE,DANNY'S FRESH MARKET,,,,,,,41.921096268,-87.68767101290001
124,ROGERS PARK,DEVON MARKET,,,,,,,41.9982282538,-87.66710446649998
125,MORGAN PARK,DIA FOOD & LIQUOR,,,,,,,41.684955798400004,-87.659725829
126,LOWER WEST SIDE,DILILAH GROCERY,,,,,,,41.8539678804,-87.6708701882
127,CHATHAM,DISCOUNT MEAT COMPANY,,,,,,,41.7506874405,-87.6333809292
128,WEST LAWN,DISCOUNT PANTRY CORPORATION,,,,,,,41.7784929073,-87.727327519
129,AUBURN GRESHAM,DOLLAR & LINEN,,,,,,,41.7355890742,-87.66995172629998
130,HERMOSA,DOLLAR DEALS & UP,,,,,,,41.9188912639,-87.726465315
131,WEST RIDGE,DOMINICK'S,,,,,,,42.0022233751,-87.680128828
132,MCKINLEY PARK,DOMINICK'S # 1100,,,,,,,41.8364683477,-87.6655669021
133,NORWOOD PARK,DOMINICK'S # 113/1113,,,,,,,41.9959852861,-87.78763711709999
134,EDGEWATER,DOMINICK'S # 12/0012,,,,,,,41.9911817534,-87.6601550832
135,SOUTH SHORE,DOMINICK'S # 130/1130,,,,,,,41.7659900011,-87.57378733670002
136,LINCOLN PARK,DOMINICK'S # 304/2304,,,,,,,41.9278717231,-87.67325881459999
137,NORTH CENTER,DOMINICK'S # 86/1086,,,,,,,41.9427471952,-87.6883543215
138,NEAR WEST SIDE,DOMINICK'S #147/1147,,,,,,,41.8645211937,-87.6393040996
139,NEAR NORTH SIDE,DOMINICK'S #153/2153,,,,,,,41.9038839611,-87.6394372016
140,ROGERS PARK,DOMINICK'S #160/1698,,,,,,,42.0192885501,-87.6750585094
141,NEAR NORTH SIDE,Dominick's #1703,,,,,,,41.8916898398,-87.6204441348
142,NEAR WEST SIDE,DOMINICK'S #1875,,,,,,,41.8818156316,-87.64721471700001
143,LINCOLN SQUARE,DOMINICKS #2889,,,,,,,41.9768950984,-87.69227966780001
144,EDGEWATER,DOMINICKS #2890,,,,,,,41.976481667600005,-87.6548397772
145,WEST TOWN,DOMINICK'S FINER FOODS - STORE # 2775,,,,,,,41.8957852296,-87.6779308926
146,LINCOLN PARK,"DOMINICK'S Finer Foods, Inc. #1695",,,,,,,41.9252682757,-87.6534875641
147,NEW CITY,E.M. GROCERIES,,,,,,,41.7961289732,-87.6514349028
148,HUMBOLDT PARK,EDDIE & SON FOOD &LIQ.,,,,,,,41.9100926711,-87.71757535319998
149,WEST ENGLEWOOD,EDDIE'S FOOD MART,,,,,,,41.7794611564,-87.67143667149998
150,ROSELAND,"EDDIE'S SUNSHINE FOOD & LIQUOR,  INC.",,,,,,,41.6978179235,-87.6210110036
151,ROGERS PARK,EDDY'S FOOD MART,,,,,,,42.019164625,-87.668397288
152,EDGEWATER,EDGEWATER PRODUCE,,,,,,,41.981971377,-87.6683210323
153,WEST TOWN,EL  PASEO  BORICUA,,,,,,,41.9030542001,-87.6947704208
154,HUMBOLDT PARK,EL BARRIO GROCERY,,,,,,,41.9100080401,-87.7254384633
155,SOUTH LAWNDALE,EL MILAGRO,,,,,,,41.844687327399996,-87.702102936
156,LOGAN SQUARE,EL YUNQUE FOOD & LIQUOR,,,,,,,41.9157610232,-87.6972958109
157,LOGAN SQUARE,EMILIO'S PRODUCE,,,,,,,41.9225974657,-87.6970976291
158,NEAR NORTH SIDE,EUROPA GALLERIA INC,,,,,,,41.8956627719,-87.637220715
159,WEST ENGLEWOOD,EXTRA VALUE FOOD & LIQUOR,,,,,,,41.7796146658,-87.6640774893
160,UPTOWN,"MY RANCH, INC.",,,,,,,41.9669775683,-87.6549446417
161,LOWER WEST SIDE,FAIRPLAY FINER FOOD,,,,,,,41.8519838396,-87.6857857042
162,NEW CITY,FAIRPLAY FINER FOODS INC,,,,,,,41.809629768,-87.6457075651
163,MORGAN PARK,FAIRPLAY FOODS INC,,,,,,,41.691679204,-87.6797791725
164,SOUTH SHORE,FAIRWAY FOOD,,,,,,,41.7520053919,-87.5540154169
165,MOUNT GREENWOOD,FAMILY PRIDE,,,,,,,41.7003552742,-87.7205408964
166,WEST RIDGE,FARM SUPER MARKET,,,,,,,41.9976669579,-87.68721345600002
167,CHICAGO LAWN,FIESTA SUPERMARCADO,,,,,,,41.7788185771,-87.70590357549999
168,SOUTH CHICAGO,FIRST CHOICE MARKET,,,,,,,41.7299778712,-87.5503825944
169,AUBURN GRESHAM,FIVE STAR CERTIFIED INC,,,,,,,41.7359084057,-87.64742288030001
170,AUSTIN,FOOD 4 LESS,,,,,,,41.9095051477,-87.74695993629999
171,CHATHAM,FOOD 4 LESS,,,,,,,41.7363800456,-87.62750921899998
172,WEST ENGLEWOOD,Food 4 Less Midwest,,,,,,,41.7657907704,-87.66396688649998
173,NEW CITY,FOOD 4 LESS,,,,,,,41.809668528,-87.6751156964
174,ENGLEWOOD,FOOD BASKET,,,,,,,41.763181195,-87.64421502100002
175,LOGAN SQUARE,FOODSMART,,,,,,,41.9318527752,-87.7129012497
176,LOGAN SQUARE,FOODSMART,,,,,,,41.9173585451,-87.69934106870001
177,WOODLAWN,FRESH BUY FOODS INC,,,,,,,41.7796646515,-87.6142509361
178,WEST RIDGE,FRESH FARMS INTERNATIONAL,,,,,,,41.9977359091,-87.69592888049999
179,BELMONT CRAGIN,FRESH MARKET PLACE,,,,,,,41.9276476796,-87.76626652110001
180,SOUTH LAWNDALE,FRUTERIA EL MERCADO,,,,,,,41.8409331636,-87.7072241769
181,MCKINLEY PARK,FURTERIA EL SERRANITO,,,,,,,41.8248606245,-87.6700230192
182,SOUTH LAWNDALE,GAYTAN GROCERY STORE,,,,,,,41.8403086304,-87.73310705899998
183,BRIGHTON PARK,GEMELOS FOOD/ CHECK CASHING SERVICES,,,,,,,41.815432001,-87.69579779
184,PORTAGE PARK,GENE'S SAUSAGE SHOP & DELI INC,,,,,,,41.9387619658,-87.7604070714
185,LINCOLN SQUARE,GENES SAUSAGE SHOP AT DELI MEYER,,,,,,,41.9677536575,-87.6881717161
186,ARCHER HEIGHTS,GILMART'S  FOOD & LIQUOR,,,,,,,41.8014000331,-87.7260437419
187,NEW CITY,GOLDMORE FOOD,,,,,,,41.801127809099995,-87.6740803441
188,BELMONT CRAGIN,GRAND FOOD MARKET,,,,,,,41.9170677465,-87.7560413324
189,GREATER GRAND CROSSING,"GRAND PALACE SUPERMARKET, INC",,,,,,,41.7645736329,-87.6247399651
190,ENGLEWOOD,"H & A FOOD MARKET, INC.",,,,,,,41.7795645849,-87.6499748357
191,LOGAN SQUARE,H & Z GROCERY STORE,,,,,,,41.928345251399996,-87.71867089950001
192,ROGERS PARK,HALAL MEAT & GROCERY,,,,,,,41.9982373871,-87.6661711005
193,EDISON PARK,HAPPY FOODS,,,,,,,42.0043992612,-87.8184857554
194,FOREST GLEN,HAPPY FOODS,,,,,,,41.997860013899995,-87.7634457986
195,LOOP,HARBOR MARKET,,,,,,,41.8847505385,-87.6156039565
196,NEW CITY,HAREER FOOD & LIQUOR,,,,,,,41.7945591033,-87.6453134277
197,HYDE PARK,HARPER FOODS,,,,,,,41.7914105694,-87.58953262780001
198,LINCOLN SQUARE,HARVESTIME FOODS,,,,,,,41.9686702259,-87.6951627475
199,HEGEWISCH,Hegewisch Fruit Market Inc.,,,,,,,41.6551885903,-87.54699941850002
200,ROSELAND,HILLTOP LIQUORS MART,,,,,,,41.7072479748,-87.62005636399998
201,UPTOWN,HOA NOM CO,,,,,,,41.9731612999,-87.65783317959999
202,EDGEWATER,HOLLYWOOD TOWER MKT,,,,,,,41.985638421,-87.6550943233
203,ARMOUR SQUARE,HONG KONG MARKET,,,,,,,41.8482371659,-87.6409555275
204,HYDE PARK,"HYDE PARK PRODUCE, LTD",,,,,,,41.7995768022,-87.59551292190002
205,UPTOWN,IMPERIAL TOWER MARKET,,,,,,,41.960019954,-87.6469060276
206,HERMOSA,INTERNATIONAL FOODS NW INC,,,,,,,41.9244726356,-87.736789505
207,NEW CITY,INTERNATIONAL SUPERMARKET INC,,,,,,,41.8105656774,-87.6651705169
208,BELMONT CRAGIN,J & A ORIENTAL FOOD MART,,,,,,,41.9237993545,-87.77063323639999
209,PORTAGE PARK,J & J EUROPEAN DELI,,,,,,,41.9677648001,-87.7770202043
210,IRVING PARK,J AND P FINER FOODS,,,,,,,41.9609885935,-87.7156463163
211,ENGLEWOOD,J K & S FOOD & LIQUOR,,,,,,,41.7870390747,-87.6378127282
212,RIVERDALE,J R GROCERY STORE,,,,,,,41.6517610645,-87.6093666123
213,GRAND BOULEVARD,JAMAICA FOOD & LIQUOR INC,,,,,,,41.8170297652,-87.6068579199
214,WASHINGTON PARK,JARDAN FOOD & LIQUOR,,,,,,,41.7943249341,-87.6185206053
215,ALBANY PARK,JERUSALEM LIQUORS,,,,,,,41.9683547002,-87.7073943249
216,NEAR SOUTH SIDE,JEWEL,,,,,,,41.8667243541,-87.6259611484
217,MORGAN PARK,JEWEL,,,,,,,41.680332205300004,-87.66258467870001
218,SOUTH SHORE,JEWEL,,,,,,,41.7578056585,-87.58626825799999
219,DOUGLAS,JEWEL,,,,,,,41.8330447382,-87.6146113644
220,CHICAGO LAWN,JEWEL,,,,,,,41.7830611377,-87.68359886969999
221,SOUTH DEERING,JEWEL,,,,,,,41.7222631981,-87.5829176346
222,MOUNT GREENWOOD,JEWEL,,,,,,,41.7063128446,-87.6997671192
223,EAST SIDE,JEWEL,,,,,,,41.7028060951,-87.5277040116
224,WEST ELSDON,JEWEL,,,,,,,41.7961975914,-87.7233918834
225,WASHINGTON HEIGHTS,JEWEL,,,,,,,41.7229412182,-87.66286287129999
226,CHATHAM,JEWEL,,,,,,,41.7361451282,-87.62691784399998
227,NEAR NORTH SIDE,JEWEL,,,,,,,41.9042652283,-87.6316032946
228,DUNNING,JEWEL,,,,,,,41.953010233200004,-87.7877071626
229,WEST TOWN,JEWEL,,,,,,,41.906243703099996,-87.6698622813
230,PORTAGE PARK,JEWEL,,,,,,,41.966797111999995,-87.76729948059997
231,NORWOOD PARK,JEWEL,,,,,,,41.9745429477,-87.8113468842
232,MCKINLEY PARK,JEWEL,,,,,,,41.8275838968,-87.6824544425
233,NEAR WEST SIDE,JEWEL,,,,,,,41.8662541761,-87.66652414010002
234,BELMONT CRAGIN,JEWEL,,,,,,,41.9262969563,-87.78569482399998
235,NEAR NORTH SIDE,JEWEL,,,,,,,41.8924213661,-87.6282348711
236,EDGEWATER,JEWEL,,,,,,,41.982189884600004,-87.66865162799999
237,LAKE VIEW,JEWEL,,,,,,,41.9354720327,-87.66865454309998
238,NORTH PARK,JEWEL,,,,,,,41.9756241124,-87.7298445616
239,EDGEWATER,JEWEL,,,,,,,41.9794282549,-87.6598058547
240,NORTH CENTER,JEWEL,,,,,,,41.959100433,-87.6823922417
241,UPTOWN,JEWEL,,,,,,,41.9613977799,-87.6545929748
242,AVONDALE,JEWEL,,,,,,,41.946057604,-87.7082301098
243,OHARE,JEWEL,,,,,,,41.9660114013,-87.8368311691
244,NORTH CENTER,JEWEL,,,,,,,41.943187373200004,-87.6883020207
245,LAKE VIEW,JEWEL,,,,,,,41.9463846516,-87.6465248633
246,GARFIELD RIDGE,JEWEL,,,,,,,41.794354853200005,-87.77052715209999
247,PORTAGE PARK,JEWEL,,,,,,,41.953554438400005,-87.7450553112
248,LAKE VIEW,JEWEL,,,,,,,41.9480045508,-87.6641862307
249,ALBANY PARK,JOE'S FOOD & LIQUOR,,,,,,,41.968445246,-87.7194165758
250,BELMONT CRAGIN,JOE'S FOOD AND LIQUOR DEPOT,,,,,,,41.9239918266,-87.7722891067
251,JEFFERSON PARK,JOLANTA'S INTERNATIONAL DELI,,,,,,,41.9727914969,-87.7763718583
252,DUNNING,JOSEPH FOOD MART,,,,,,,41.9520185577,-87.83316684340002
253,NEW CITY,K & K FOOD & LIQUOR,,,,,,,41.8015768439,-87.6537884728
254,WEST LAWN,K BUENA,,,,,,,41.7713833198,-87.73095336889999
255,WEST RIDGE,KAMDAR PLAZA INC,,,,,,,41.9977219015,-87.6966411029
256,NEAR SOUTH SIDE,"Kan-Zaman Mart, Inc.",,,,,,,41.855317671,-87.6237265152
257,BRIGHTON PARK,KAPS FOODS,,,,,,,41.8283836447,-87.69462017
258,RIVERDALE,KEY FOOD LIQUOR,,,,,,,41.6519728186,-87.61708373629999
259,ROSELAND,KHALIL FOOD & LIQUOR,,,,,,,41.707218139,-87.6277515583
260,ENGLEWOOD,KING FOOD & LIQUOR,,,,,,,41.7689262968,-87.644655997
261,WEST RIDGE,KOL TUV KOSHER FOODS INC,,,,,,,41.9976012808,-87.7036126719
262,JEFFERSON PARK,KORDIAN'S MARKET,,,,,,,41.9759840467,-87.7865613104
263,PORTAGE PARK,"KRAKUS DELI,  INC",,,,,,,41.9458951009,-87.7566458523
264,LOWER WEST SIDE,LA CASA DEL PUEBLO INC,,,,,,,41.8574527464,-87.66168833110001
265,EAST SIDE,LA CIENEGA SUPER FOOD INC,,,,,,,41.699814846500004,-87.53542689049999
266,SOUTH DEERING,LA FERIA GROCERY,,,,,,,41.7189121563,-87.55117429719999
267,HERMOSA,LA GUERRERENSE,,,,,,,41.9170000028,-87.73098926450001
268,BRIGHTON PARK,LA INTERNATIONAL,,,,,,,41.815300693699996,-87.7020416008
269,SOUTH LAWNDALE,LA JALISCIENCE,,,,,,,41.8443879922,-87.7064970959
270,BELMONT CRAGIN,"LA LOMA ""CARNICERIA Y TAQUERIA""",,,,,,,41.9270360931,-87.75610618299999
271,SOUTH LAWNDALE,LA MERCED INC,,,,,,,41.8440327965,-87.73243286469999
272,SOUTH LAWNDALE,"LA NUEVA IMAGEN GROCERY, INC.",,,,,,,41.8462971046,-87.71591642950001
273,HUMBOLDT PARK,LA PERLA TAPATIA BAKERY,,,,,,,41.909919754,-87.73197125700001
274,BRIGHTON PARK,LA PLAMA,,,,,,,41.8175793077,-87.69832058629999
275,LOWER WEST SIDE,LA PROVIDENCIA FOOD MART,,,,,,,41.8542193742,-87.6684581591
276,EDGEWATER,"LA UNICA FOOD MART, INC.",,,,,,,41.9979934597,-87.6684278857
277,UPTOWN,LAKE VIEW FOODS INC,,,,,,,41.9570402995,-87.6547628922
278,NEAR NORTH SIDE,L'APPETITO,,,,,,,41.8989485417,-87.62397498770002
279,DUNNING,LARAMIE BAKERY & DELI,,,,,,,41.9389859689,-87.8069290648
280,HUMBOLDT PARK,"LATIN GROCERY & LIQUOR, INC",,,,,,,41.9100494194,-87.72145808389999
281,NORTH LAWNDALE,LAWNDALE FOOD MARKET,,,,,,,41.8588339683,-87.7178671863
282,MONTCLARE,Laxi Liquor,,,,,,,41.923680700300004,-87.79867612860001
283,ARMOUR SQUARE,LEMEN SUN CORP.,,,,,,,41.8416044818,-87.6319155034
284,ALBANY PARK,LINDO MICHOACAN,,,,,,,41.9685727721,-87.70778770129999
285,LOGAN SQUARE,LOGAN CERTIFIED FOODS CORP,,,,,,,41.93197047,-87.699931619
286,BRIGHTON PARK,LORETO GROCERY,,,,,,,41.8100014783,-87.6931813523
287,LOWER WEST SIDE,LOS CUATRO HERMANOS GROCERY,,,,,,,41.8562022212,-87.6577449724
288,AVONDALE,LOS POTRILLOS,,,,,,,41.939309516,-87.7185399405
289,BELMONT CRAGIN,LOS SAUCES GROCERY,,,,,,,41.9312882001,-87.7732414533
290,LOWER WEST SIDE,LUCIANO'S GROCERY-18TH ST,,,,,,,41.8578565675,-87.66941959559998
291,AUBURN GRESHAM,LUX 2 FOOD & LIQUOR,,,,,,,41.7561626996,-87.6528196032
292,MORGAN PARK,M & D VARIETY STORE,,,,,,,41.692319626599996,-87.65466321129999
293,ALBANY PARK,M & J LIQUOR & GROCERY,,,,,,,41.9684345799,-87.7204810114
294,SOUTH CHICAGO,MACIAS PRODUCE INC.,,,,,,,41.7327335949,-87.55117278360001
295,UPTOWN,MAKOLA AFRICAN SUPERMARKET #2,,,,,,,41.9636502775,-87.6546221904
296,LINCOLN SQUARE,MANDY'S LIQUOR,,,,,,,41.9686561373,-87.678438479
297,AUSTIN,MARIO 'S BUTCHER SHOP FD CNTR,,,,,,,41.8800449808,-87.7704933793
298,KENWOOD,MARKET IN THE PARK,,,,,,,41.8028797781,-87.5818436939
299,EAST GARFIELD PARK,MA'S & PA'S GROCERY SNACK SHOP,,,,,,,41.8708776439,-87.6961668842
300,ALBANY PARK,MAYFAIR MARKET PLACE,,,,,,,41.9672666701,-87.72814704780001
