id,Program Type,Program Name,Community Area,Activity Status,lat,lon
24,CDHS-PRO,It Take A Village,West Pullman,ACTIVE,41.6708842,-87.63615519999999
25,CDHS-PRO,Maria Shelter For Homeless Wm.,Greater Grand Crossing,ACTIVE,41.7615057,-87.6307856
26,CDHS-PRO,CCHC Amani House,Auburn Gresham,ACTIVE,41.747654,-87.6691292
27,CDHS-PRO,Thelma's Place Interim Housing,Ashburn,ACTIVE,41.7470366,-87.6831509
28,CDHS-PRO,Tab House I,Auburn Gresham,ACTIVE,41.7351283,-87.6654767
29,DAY CARE,ACADEMY OF LEARNING INC.,Ashburn,INACTIVEFB,41.7355445,-87.6954387
30,DAY CARE,Auburn Park Day Care/Kndgrn,Auburn Gresham,INACTIVEFB,41.7504711,-87.64321939999999
31,DAY CARE,Tiny Tots Villa Montessori,Chatham,INACTIVEAG,41.7465872,-87.615162
32,DAY CARE,Hyde Park Academy for Preschoo,Kenwood,ACTIVE,41.8082071,-87.6011886
33,DAY CARE,Giant Steps Learning Ctr II,West Pullman,INACTIVEFB,41.6779857,-87.62560909999999
34,DAY CARE,Highland Day Care,Auburn Gresham,ACTIVE,41.7547605,-87.66385749999999
35,DAY CARE,Itsy Bitsy People's Place,Greater Grand Crossing,INACTIVEAG,41.7597274,-87.6050544
36,DAY CARE,Roseland Day Care & Kindergtn.,Washington Heights,ACTIVE,41.7024207,-87.64299
37,DAY CARE,Children's Center Inc/Outreach,West Pullman,INACTIVEFB,41.6611994,-87.6410666
38,DAY CARE,Wentworth Community Services,West Pullman,INACTIVEFB,41.6822564,-87.62772980000001
39,DAY CARE,Head of The Class Early CDC,Avalon Park,INACTIVEFB,41.7372371,-87.57789869999999
40,DAY CARE,Bunnyland Child Care Center #2,West Pullman,ACTIVE,41.677648,-87.63652599999999
41,DAY CARE,D & D's Tiny Tots,Auburn Gresham,INACTIVEAG,41.748279,-87.67330380000001
42,DAY CARE,"J.P.E. Day Care Center, Inc",Chatham,INACTIVEFB,41.737672,-87.604472
43,DAY CARE,Children's Center Outreach,West Pullman,INACTIVEFB,41.6611994,-87.6410666
44,DAY CARE,Taylor Day School,Auburn Gresham,INACTIVEFB,41.7360917,-87.6589691
45,DAY CARE,Humpty Dumpty Daycare,Washington Heights,INACTIVEFB,41.7142948,-87.65153219999999
46,DAY CARE,Tots Express Learning Center,Chatham,INACTIVEAG,41.731463,-87.6051109
47,DAY CARE,Tots Express Learning Center,Calumet Heights,ACTIVE,41.730409,-87.58471589999999
48,FOODBOX,St. Columbanus,Greater Grand Crossing,INACTIVEAG,41.7652271,-87.61782509999999
49,FOODBOX,Inner-City Missions Network,Greater Grand Crossing,INACTIVEFB,41.7597378,-87.59636540000001
59,PANTRY,Vital Bridges South,Greater Grand Crossing,ACTIVE,41.7581542,-87.6290633
60,KIDS CAFE,Will Feed/PEACE Kids Cafe,Englewood,INACTIVEFB,41.7763169,-87.6471176
62,KIDS CAFE,Dusable Museum,Washington Park,INACTIVEFB,41.7918379,-87.6069893
64,KIDS CAFE,First Presbyterian (MAGIC),Woodlawn,INACTIVEFB,41.7783854,-87.5950635
65,KIDS CAFE,The Love Foundation,Greater Grand Crossing,INACTIVEFB,41.75868699999999,-87.61162499999999
66,KIDS CAFE,Link and Option Ctr Kids Cafe,Markham,INACTIVEFB,41.60486960000001,-87.69962149999999
67,KIDS CAFE,"Woodlawn, WRAP, Inc Kids Cafe",Robbins,INACTIVEAG,41.6490965,-87.6981004
68,KIDS CAFE,Living Room Cafe,Woodlawn,INACTIVEFB,41.77786280000001,-87.60611999999999
69,KIDS CAFE,Straford Memorial Seventh Day,West Pullman,INACTIVEFB,41.6781,-87.63557560000001
70,KIDS CAFE,Victory Cathedral Faith Church,Washington Heights,INACTIVEFB,41.703883,-87.65204
71,KIDS CAFE,Wyatt Community Center,Calumet Heights,INACTIVEAG,41.731746,-87.58594029999999
72,KIDS CAFE,Sullivan House,Avalon Park,INACTIVEAG,41.7460084,-87.5787904
73,CACFP,Gary Comer Youth Center,Greater Grand Crossing,ACTIVE,41.7640694,-87.6024357
74,KIDS CAFE,Washington Park,Washington Park,INACTIVEFB,41.7933831,-87.61548909999999
75,KIDS CAFE,Ogden Park,West Englewood,INACTIVEFB,41.7750512,-87.6553561
76,KIDS CAFE,Messiah St. Batholomew,Avalon Park,INACTIVEFB,41.7443103,-87.5890618
77,KIDS CAFE,Blue Island Park District (CM),Blue Island,INACTIVEFB,41.6606127,-87.6880446
78,KIDS CAFE,CREDO (CM),Washington Park,INACTIVEFB,41.7841214,-87.61999469999999
79,KIDS CAFE,Salvation Army Red Shield (CM),Englewood,INACTIVEFB,41.7685216,-87.6487442
80,SFSP,YMCA- South Side,South Shore,ACTIVE,41.7797445,-87.58741930000001
81,SFSP,Changing Life Educ. Inititive,Auburn Gresham,INACTIVEAG,41.7503284,-87.64707349999999
82,KIDS CAFE,Beloved (CM),Englewood,INACTIVEFB,41.7771158,-87.6338186
84,KIDS CAFE,Dusable Museum,Washington Park,INACTIVEFB,41.7918379,-87.6069893
85,KIDS CAFE,First Presbyterian (MAGIC),Woodlawn,INACTIVEFB,41.7783854,-87.5950635
86,KIDS CAFE,Institute for Positive Living,Douglas,INACTIVEFB,41.8282421,-87.6144166
87,CACFP,South Side Help Center,Washington Heights,ACTIVE,41.7044396,-87.643248
88,KIDS CAFE,Woodlawn Childrens Promise,Woodlawn,INACTIVEFB,41.7852617,-87.6085245
89,CACFP,TSA: Englewood Red Shield Cent,Englewood,ACTIVE,41.7685216,-87.6487442
90,KIDS CAFE,Daughters of Destiny Min.,Ashburn,INACTIVEFB,41.7498942,-87.70767939999999
91,CACFP,A Knock at Midnight,Greater Grand Crossing,ACTIVE,41.7564966,-87.6350873
92,KIDS CAFE,Church of the Good Shepherd,Washington Park,INACTIVEAG,41.791096,-87.6191248
93,KIDS CAFE,Inner Cities Mission Network,Greater Grand Crossing,INACTIVEAG,41.7597378,-87.59636540000001
94,KIDS CAFE,Woodlawn Childrens Promise,Woodlawn,INACTIVEAG,41.7852614,-87.60854289999999
95,KIDS CAFE,TSA Blue Island: Rock Day Camp,Blue Island,INACTIVEFB,41.6630078,-87.6926532
96,KIDS CAFE,Project Hood- New Begin Church,Greater Grand Crossing,ACTIVE,41.7740356,-87.6158827
97,CACFP,MFS Kellar Middle School,Robbins,INACTIVEAG,41.6363792,-87.7040045
98,KIDS CAFE,The Salvation Army,Blue Island,INACTIVEFB,41.6630078,-87.6926532
99,SFSP,Blackstone Bicycle Works,Woodlawn,ACTIVE,41.7841364,-87.5905903
100,KIDS CAFE,Community Covenant Church,Calumet Park,INACTIVEFB,41.666919,-87.656441
101,SFSP,MetroSquash,Woodlawn,ACTIVE,41.7837162,-87.6064057
102,KIDS CAFE,Chatham-Avalor Nursery School,Greater Grand Crossing,INACTIVEFB,41.7511757,-87.6235152
103,SFSP,Chicago State Univ. Continuing,Roseland,ACTIVE,41.7179575,-87.6093736
104,SFSP,Christian Community Health,Auburn Gresham,ACTIVE,41.747654,-87.6691292
105,KIDS CAFE,Christian Stem Scholard Academ,Roseland,INACTIVEAG,41.7232227,-87.6265731
106,SFSP,CHA-Lowden,Washington Heights,ACTIVE,41.7216974,-87.6294494
107,SFSP,CHA- Washington Park 40th,Grand Boulevard,ACTIVE,41.82144660000001,-87.61074909999999
108,SFSP,CHA- SESS-Giles,Douglas,ACTIVE,41.8295299,-87.6191715
109,SFSP,Triedstone Church,Beverly,ACTIVE,41.7046372,-87.6581399
110,SFSP,Operation Restoration,Auburn Gresham,ACTIVE,41.7347227,-87.645881
111,KIDS CAFE,Chatham Fields,Chatham,INACTIVEFB,41.747768,-87.610372
112,SFSP,Lez Enfants Academy,Englewood,ACTIVE,41.7629548,-87.64404270000001
113,CACFP,Imagine Englewood If,Englewood,ACTIVE,41.769059,-87.64299779999999
114,SFSP,HHW School For the Performing,Woodlawn,ACTIVE,41.7783854,-87.5950635
115,SFSP,St. Mark United Methodist Chur,Chatham,ACTIVE,41.7404821,-87.609479
116,SFSP,Chatham Enrichment Center,Greater Grand Crossing,ACTIVE,41.7447157,-87.6240319
117,KIDS CAFE,United In Love M.B. Church,Englewood,INACTIVEFB,41.7665332,-87.6448027
118,SFSP,PRC Learning Center Inc.,South Holland,ACTIVE,41.6003179,-87.6066668
119,SFSP,Universal Family Connection,Beverly,ACTIVE,41.707037,-87.6571525
120,KIDS CAFE,Oakwood Shores,Oakland,INACTIVEFB,41.8241142,-87.61219969999999
121,KIDS CAFE,House of Prayer and Healing,Greater Grand Crossing,INACTIVEFB,41.76908299999999,-87.618915
122,KIDS CAFE,New Everlasting Faith Min,Greater Grand Crossing,INACTIVEFB,41.76747,-87.63019400000002
123,SFSP,St. Thomas,South Chicago,ACTIVE,41.749762,-87.5759458
124,KIDS CAFE,Southwest Montessori Preschool,Auburn Gresham,ACTIVE,41.7370229,-87.65361770000001
126,SFSP,Greater Metro M.B. Church,Washington Park,ACTIVE,41.78780099999999,-87.62437899999999
127,SFSP,Park Manor Christian Church,Greater Grand Crossing,INACTIVEFB,41.762305,-87.6099852
128,SFSP,CHA - Kennedy King College,Englewood,ACTIVE,41.7802011,-87.64384869999999
129,SFSP,CHA - Washington Park 45th,Grand Boulevard,ACTIVE,41.81295129999999,-87.6088137
130,KIDS CAFE,St.John Evangelist M.B. Church,West Englewood,INACTIVEFB,41.779837,-87.656685
131,KIDS CAFE,St. Mark A.M.E. Zion Church,Greater Grand Crossing,INACTIVEFB,41.7605547,-87.60573339999999
132,KIDS CAFE,New Covenant Life,Chatham,INACTIVEFB,41.7250241,-87.604143
133,SFSP,South Shore Drill Team,Greater Grand Crossing,ACTIVE,41.7640694,-87.6024357
134,SFSP,Martin Temple AME Zion,Greater Grand Crossing,ACTIVE,41.76888659999999,-87.6061258
135,KIDS CAFE,Parkway Garden Apartments,Greater Grand Crossing,INACTIVEFB,41.7796859,-87.616729
136,SFSP,Community Film Workshop of Chi,Woodlawn,ACTIVE,41.7819343,-87.604879
137,SFSP,True to Life Foundation,Chatham,ACTIVE,41.73713739999999,-87.58216379999999
138,KIDS CAFE,Union Tabernacle Miss Baptist,Englewood,INACTIVEFB,41.7737032,-87.63488120000001
139,KIDS CAFE,Robeson Football,Englewood,INACTIVEFB,41.7702519,-87.6368723
140,KIDS CAFE,Dorothy Sutton Branch,Chatham,INACTIVEFB,41.73772109999999,-87.6238075
141,KIDS CAFE,Masjid Al Farooq,Calumet Heights,INACTIVEFB,41.731746,-87.58594029999999
142,KIDS CAFE,Providence Missionary Baptist,Auburn Gresham,INACTIVEFB,41.7410416,-87.6627402
143,KIDS CAFE,Kenwood Oakland Org- Grant Mem,Grand Boulevard,INACTIVEFB,41.8173427,-87.60700729999999
145,SFSP,Commonwealth Community Church,Chatham,ACTIVE,41.747499,-87.62849899999999
146,SFSP,River City Community,Humboldt Park,ACTIVE,41.9036165,-87.7202764
147,SFSP,Church of the Good Shepherd,Washington Park,ACTIVE,41.7909409,-87.619615
149,KIDS CAFE,Back to God All Nations Church,West Englewood,INACTIVEFB,41.7609559,-87.574761
150,SFSP,True Light Baptist,Greater Grand Crossing,ACTIVE,41.7620681,-87.6045133
151,KIDS CAFE,Wildcats Foodball,Douglas,INACTIVEFB,41.8243586,-87.61980059999999
152,KIDS CAFE,Kings Dominion Church,West Pullman,INACTIVEFB,41.6821656,-87.6611265
153,SFSP,Antioch Haven Homes,Englewood,ACTIVE,41.7801414,-87.6356812
154,SFSP,Lighthouse Apostolic Faith,Greater Grand Crossing,ACTIVE,41.7531034,-87.61223059999999
155,SFSP,Abounding Life Church,Posen,ACTIVE,41.627175,-87.68946299999999
156,SFSP,Parkway Gardens Christian Chur,Greater Grand Crossing,ACTIVE,41.7741687,-87.6155124
157,KIDS CAFE,Action Coalition of Englewood,Englewood,INACTIVEFB,41.7762299,-87.6468214
158,CACFP,"Global Girls, Inc.",South Shore,ACTIVE,41.7467097,-87.5785846
159,HKM,Parker Community Academy,Englewood,ACTIVE,41.7708441,-87.63258569999999
160,HKM,Sexton Elementary,Woodlawn,INACTIVEAG,41.7852617,-87.6085245
161,HKM,Jane A. Neil Elementary,Chatham,ACTIVE,41.7386141,-87.62057639999999
162,HKM,Fiske Elementary,Woodlawn,ACTIVE,41.7852617,-87.6085245
164,HKM,Cook Elementary School,Auburn Gresham,ACTIVE,41.7458533,-87.6601661
165,HKM,Randolph Elementary,West Englewood,ACTIVE,41.760634,-87.67637959999999
166,HKM,Sarah E. Goode STEM Academy,Ashburn,ACTIVE,41.7539429,-87.7062012
167,GCFD-MP,St. Columbanus,Greater Grand Crossing,INACTIVEFB,41.7652271,-87.61782509999999
168,GCFD-MP,Metro Community Outreach,Washington Park,INACTIVEFB,41.78780099999999,-87.62437899999999
169,GCFD-MP,Goodlife Food Pantry,Washington Park,INACTIVEAG,41.7841214,-87.61999469999999
170,GCFD-MP,Inner-City Missions Network,Greater Grand Crossing,ACTIVE,41.7597378,-87.59636540000001
171,FOODBOX,Mt.Hermon Missionary Baptist,Greater Grand Crossing,INACTIVEFB,41.7511507,-87.6370048
172,FOODBOX,Cosmopolitan Church of Prayer,Woodlawn,INACTIVEFB,41.7771159,-87.6043067
173,FOODBOX,Chatham Satellite Senior Cente,Chatham,INACTIVEFB,41.7435799,-87.6054601
174,FOODBOX,Bethlehem Star Baptist Church,Chatham,INACTIVEFB,41.726546,-87.60410139999999
175,FOODBOX,Hope Organization,Englewood,INACTIVEFB,41.7681584,-87.6442008
176,FOODBOX,Full Gospel Outreach Ministrie,Englewood,INACTIVEFB,41.7762627,-87.6475061
177,FOODBOX,Harris Park -DFSS Service Fair,Woodlawn,INACTIVEFB,41.7819343,-87.604879
178,FOODBOX,Foster Park-DFSS Service Fair,Auburn Gresham,INACTIVEFB,41.7417044,-87.6600082
179,FOODBOX,Grand Crossing Park - DFSS SER,Greater Grand Crossing,INACTIVEFB,41.7556929,-87.6012188
180,FOODBOX,The Woodlawn Organization,Woodlawn,INACTIVEFB,41.78074489999999,-87.5886077
181,FOODBOX,Southeast (Atlas) Center,South Chicago,INACTIVEFB,41.7512928,-87.5804323
182,GCFD-MP,Will Feed Community Org.,Englewood,INACTIVEAG,41.7776961,-87.64804319999999
183,FOODBOX,Abbott Park Satellite Senior C,Roseland,INACTIVEFB,41.7217117,-87.62223329999999
184,FOODBOX,Mt. Hermon MBC,Greater Grand Crossing,INACTIVEFB,41.7511507,-87.6370048
185,FOODBOX,St. Paul Missionary Baptist Ch,Englewood,INACTIVEFB,41.7672251,-87.6422109
186,FOODBOX,Changing Life Education Initia,Auburn Gresham,INACTIVEFB,41.7503284,-87.64707349999999
187,FOODBOX,Covenant Faith Church of God,Roseland,INACTIVEFB,41.7031202,-87.6425081
188,FOODBOX,Word of God Life Changing Mini,Englewood,INACTIVEFB,41.765467,-87.638007
189,FOODBOX,Metro Community Outreach,Washington Park,INACTIVEFB,41.78780099999999,-87.62437899999999
190,FOODBOX,Inner-City Missions,Greater Grand Crossing,INACTIVEFB,41.7597378,-87.59636540000001
191,FOODBOX,St. Ailbe Men's Ministry,Calumet Heights,INACTIVEFB,41.729949,-87.5867423
192,FOODBOX,Antioch Missionary Baptist,Englewood,INACTIVEFB,41.7805714,-87.6353498
193,FOODBOX,Cry Unto Me Rescue Mission,Englewood,INACTIVEFB,41.7631676,-87.6426238
194,GCFD-MP,Abounding Life Church,Posen,INACTIVEFB,41.627175,-87.68946299999999
195,FOODBOX,Grand Crossing Park,Greater Grand Crossing,INACTIVEFB,41.7560533,-87.6018787
196,GCFD-MP,Glory to Glory Ministries,West Pullman,INACTIVEAG,41.6716649,-87.63582799999999
197,GCFD-MP,Greater Metropolitan MB Church,Washington Park,INACTIVEFB,41.78780099999999,-87.62437899999999
198,GCFD-MP,Apostolic Pentecostal Church,Morgan Park,INACTIVEFB,41.6861939,-87.6664918
199,GCFD-MP,St. Ailbe Men's Ministry,Calumet Heights,INACTIVEFB,41.729949,-87.5867423
201,N4K,CICS-Avalon,Avalon Park,INACTIVEAG,41.7429291,-87.5876615
202,N4K,Mayo School,Douglas,INACTIVEAG,41.8269105,-87.6198313
203,N4K,Oglesby School,Auburn Gresham,INACTIVEAG,41.7547862,-87.64596929999999
204,N4K,Whistler School,West Pullman,INACTIVEAG,41.6840389,-87.65486539999999
205,N4K,Parker Elementary,Englewood,INACTIVEAG,41.7708441,-87.63258569999999
206,N4K,Oglesby Elementary,Auburn Gresham,INACTIVEFB,41.7547862,-87.64596929999999
207,N4K,Mayo Elementary,Douglas,INACTIVEAG,41.8269105,-87.6198313
208,N4K,Whistler Elementary,West Pullman,INACTIVEFB,41.6840389,-87.65486539999999
209,N4K,CICS Avalon South Shore Elemen,Avalon Park,INACTIVEFB,41.7429291,-87.5876615
210,N4K,Parker Elementary,Englewood,INACTIVEAG,41.7708441,-87.63258569999999
211,N4K,Cook Elementary,Auburn Gresham,INACTIVEFB,41.7458533,-87.6601661
212,N4K,Woodlawn Community School,Woodlawn,INACTIVEFB,41.773523,-87.594026
213,ONSITE,St. Sabina Parish,Auburn Gresham,INACTIVEFB,41.7507333,-87.6521135
214,ONSITE,Incarnation Parish Food Pantry,Blue Island,INACTIVEFB,41.661316,-87.7622329
215,ONSITE,Back To God Church,West Englewood,INACTIVEFB,41.7606248,-87.65437360000001
216,ONSITE,Shiloh SDA Dorcas Society,Greater Grand Crossing,INACTIVEFB,41.7672046,-87.62220049999999
217,ONSITE,Salem House Food Pantry,Greater Grand Crossing,INACTIVEFB,41.7603997,-87.6183162
218,ONSITE,Village Pantry Coalition,Evergreen Park,INACTIVEFB,41.71475299999999,-87.68959
219,ONSITE,Crisis Center for So. Suburbia,Tinley Park,INACTIVEFB,41.563659,-87.8073105
220,ONSITE,Straford Memorial Church,West Pullman,INACTIVEFB,41.6780982,-87.6355701
222,ONSITE,Will Feed Community Org.,Englewood,INACTIVEFB,41.7776961,-87.64804319999999
223,ONSITE,Faith  Pentecostal Holiness,Auburn Gresham,INACTIVEAG,41.7473556,-87.6539468
224,ONSITE,Israel Methodist Cmty Church,Greater Grand Crossing,INACTIVEFB,41.7564458,-87.60550409999999
225,ONSITE,Community Covenant Church,Calumet Park,INACTIVEFB,41.666919,-87.656441
226,ONSITE,Tinley Park Food Pantry,Tinley Park,INACTIVEFB,41.5758763,-87.7868314
228,ONSITE,Haven of Rest MBC,Avalon Park,INACTIVEFB,41.7510077,-87.5843326
229,ONSITE,Morgan Park SDA Comm. Srv.,Morgan Park,INACTIVEFB,41.6937375,-87.66137069999999
230,ONSITE,Maple Morgan Park Food Pantry,Morgan Park,INACTIVEFB,41.69349829999999,-87.671672
234,ONSITE,Operation Blessing-South,Crestwood,INACTIVEFB,41.6405923,-87.72707869999999
235,ONSITE,LCFS Refugee Settlement,Woodlawn,INACTIVEFB,41.78329859999999,-87.5974895
236,ONSITE,Hyde Park SDA Soup Kitchen,Kenwood,INACTIVEFB,41.8058337,-87.6043959
237,ONSITE,Holy Willing Workers of Christ,Englewood,INACTIVEFB,41.7649814,-87.64522900000001
238,ONSITE,Whole Fold Ministries,Washington Heights,INACTIVEFB,41.7068733,-87.64706819999999
239,ONSITE,Baptist Church Without Spot,Washington Heights,INACTIVEFB,41.7241059,-87.6437192
241,ONSITE,Oakdale Covenant Church,Washington Heights,INACTIVEFB,41.7222606,-87.65065799999999
242,ONSITE,Sheldon Heights COC Pantry,Roseland,INACTIVEFB,41.687915,-87.6418697
244,ONSITE,Maria Shelter For Homeless Wm.,Greater Grand Crossing,INACTIVEFB,41.7615057,-87.6307856
245,ONSITE,Together We Cope,Tinley Park,INACTIVEFB,41.5822286,-87.7845942
246,ONSITE,Wentworth Community Services,West Pullman,INACTIVEFB,41.6822564,-87.62772980000001
247,ONSITE,Abundant Life Food Pantry,Chicago Lawn,INACTIVEFB,41.768546,-87.6812174
248,ONSITE,St. Frances De Paula Shelter,Greater Grand Crossing,INACTIVEFB,41.7527693,-87.6000743
249,ONSITE,Greater Mount Hebron MB Church,Auburn Gresham,INACTIVEFB,41.7480227,-87.6686081
250,ONSITE,Roseland Day Care & Kindergtn.,Washington Heights,INACTIVEFB,41.7007245,-87.6428349
251,ONSITE,CMHC - Constance,Calumet Heights,INACTIVEFB,41.736725,-87.5798212
252,ONSITE,Mt. Calvary Family Needs,Morgan Park,INACTIVEFB,41.6919573,-87.654296
253,ONSITE,Faith Tabernacle Church,Avalon Park,INACTIVEFB,41.7456688,-87.5845447
254,ONSITE,Highland Day Care,Auburn Gresham,INACTIVEFB,41.7547605,-87.66385749999999
255,ONSITE,Hyde Park Academy for Preschoo,Kenwood,INACTIVEFB,41.8082071,-87.6011886
256,ONSITE,Auburn Park Day Care/Kndgrn,Auburn Gresham,INACTIVEFB,41.7504711,-87.64321939999999
257,ONSITE,New Joy Divine,Auburn Gresham,INACTIVEFB,41.755063,-87.643823
260,ONSITE,Church of Jesus Christ Intern.,Auburn Gresham,INACTIVEFB,41.746459,-87.65396199999999
261,ONSITE,Sisters of St. Casimir Pantry,Chicago Lawn,INACTIVEFB,41.77110649999999,-87.6897204
263,ONSITE,St. James A.M.E. Food Pantry,Roseland,INACTIVEFB,41.7255563,-87.62606319999999
264,ONSITE,Carver MBC Food Pantry,Englewood,INACTIVEFB,41.76870539999999,-87.6526152
265,ONSITE,Carey Temple AME Food Pantry,Greater Grand Crossing,INACTIVEFB,41.764384,-87.59787600000001
266,ONSITE,St. Felicitas Church,Avalon Park,INACTIVEFB,41.7426319,-87.5869359
267,ONSITE,Orland Township Food Pantry,Orland Park,INACTIVEFB,41.6155192,-87.8492126
268,ONSITE,Project Care,Woodlawn,INACTIVEFB,41.782375,-87.60812530000001
269,ONSITE,First Presbyterian Kimbark,Woodlawn,INACTIVEFB,41.7783854,-87.5950635
270,ONSITE,Zion Temple MBCChurch,Englewood,INACTIVEFB,41.7667119,-87.6424005
271,ONSITE,Vernnon Park Church of God,Calumet Heights,INACTIVEAG,41.7319387,-87.584937
273,ONSITE,Morgan Park Pentecostal Church,Morgan Park,INACTIVEFB,41.689733,-87.6639022
277,ONSITE,Family Cares Mission,Auburn Gresham,INACTIVEFB,41.750747,-87.6630136
278,ONSITE,Arab American Ed. Council,Ashburn,INACTIVEFB,41.7398053,-87.7155801
279,ONSITE,Temple of Brotherly Love,South Shore,INACTIVEFB,41.7550421,-87.5792422
280,ONSITE,Thresholds Rowan Trees,Englewood,INACTIVEFB,41.7810693,-87.6377399
281,ONSITE,Canaan M.B.C. Food Ministry,Englewood,INACTIVEFB,41.7409129,-87.6240066
282,ONSITE,Head of The Class Early CDC,Avalon Park,INACTIVEFB,41.7372371,-87.57789869999999
283,ONSITE,Englewood UMC Food Pantry,Englewood,INACTIVEFB,41.7778802,-87.6353814
284,ONSITE,Redeeming Grace Evang Church,West Pullman,INACTIVEFB,41.6794394,-87.6453257
285,ONSITE,The Living Room Cafe,Woodlawn,INACTIVEFB,41.7787348,-87.6053771
286,ONSITE,Beautiful Zion Baptist Church,West Englewood,INACTIVEFB,41.7779653,-87.65965609999999
287,ONSITE,Messiah St. Bartholomew Church,Avalon Park,INACTIVEFB,41.7443103,-87.5890618
290,ONSITE,Community Kitchens -KKC,Englewood,INACTIVEFB,41.7776961,-87.64804319999999
292,ONSITE,Beverly Hills SDA Church,Washington Heights,INACTIVEFB,41.72336809999999,-87.66180039999999
293,ONSITE,Victory Apostolic Faith Church,Auburn Gresham,INACTIVEFB,41.747124,-87.6520711
294,ONSITE,New Bethlehem #4 MBC,Chatham,INACTIVEFB,41.7333608,-87.6051748
295,ONSITE,Rock of Love MBC,Auburn Gresham,INACTIVEFB,41.7549346,-87.6638878
296,ONSITE,Greater Tab. MBC: Vincennes,Washington Heights,INACTIVEFB,41.7178225,-87.6519252
304,ONSITE,Ebenezer MBC Food Pantry,Grand Boulevard,INACTIVEFB,41.812841,-87.61356239999999
306,ONSITE,Parkway Garden Christian CH,Greater Grand Crossing,INACTIVEFB,41.7746585,-87.6162669
307,ONSITE,Beatrice Caffrey Youth Svcs,Grand Boulevard,INACTIVEFB,41.8096454,-87.610451
311,ONSITE,Triedstone Full Gospel Baptist,Beverly,INACTIVEFB,41.7046372,-87.6581399
312,ONSITE,Glory to Glory Ministries,West Pullman,INACTIVEFB,41.6716649,-87.63582799999999
317,ONSITE,Thresholds South Suburbs,Calumet City,INACTIVEFB,41.6722232,-87.6802723
318,ONSITE,Martin Temple Community Ftn,Woodlawn,INACTIVEFB,41.76888659999999,-87.6061258
320,ONSITE,Society of St Vincent de Paul,Midlothian,INACTIVEFB,41.6263866,-87.72217839999999
321,ONSITE,Grant A Wish Inc.,Burnside,INACTIVEFB,41.72598250000001,-87.5958271
326,ONSITE,Progressive Beulah Pentecostal,Auburn Gresham,INACTIVEFB,41.7357212,-87.655977
327,ONSITE,Chatham-Avalon Ministries,Chatham,INACTIVEFB,41.73772109999999,-87.6238075
328,ONSITE,Blue Cap-Rosie's Corporation,Blue Island,INACTIVEFB,41.6503562,-87.6750095
329,ONSITE,New Mercies Community Services,Midlothian,INACTIVEFB,41.62588400000001,-87.713838
330,ONSITE,St Phillip Lutheran Church,Woodlawn,INACTIVEFB,41.7810625,-87.6135252
331,ONSITE,Genesis Place Program,Evergreen Park,INACTIVEFB,41.7205877,-87.6900983
332,ONSITE,Anointed Word Internat'l Min.,Markham,INACTIVEFB,41.601049,-87.701033
