Activity Status,Program Number,Agency Number,Community Area,Program Type,Program Name,Hours,Contact,Description,Shipping Address,Shipping City,Shipping Zip,Service Areas,Aldermanic Ward,Cook County Commissioner Code,State Rep District,State Senator District,US Congressional District Code,FY13 - Lbs Dist,FY14 - Lbs Dist,FY15 - Lbs Dist,FY16 Lbs Dist,_,FY13 - Inds Serv,FY14 - Inds Serv,FY15 - Inds Serv,FY16  - Inds Serv,_,FY13 - Meals Served (meal programs),FY14 - Meals Served (meal programs),FY15 - Meals Served (meal programs),FY16 Meals Served (meal programs),,
INACTIVEFB,BX00091,A90000,West Englewood,FOODBOX,Food Box-Beautiful Zion Hill,Monday: 10:00 am - 2:00 pm,Russell Harris,,1406 W 64th St,Chicago,60636,,16,2,6,3,1,"19,340",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00092,A90000,Auburn Gresham,FOODBOX,Food Box-Rock of Love MB Ch,Thursday: 10:00 am - 2:00 pm,Samuel Douglas,,7622 S Ashland Ave,Chicago,60620,,17,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00093,A90000,Burnside,FOODBOX,Food Box-Fellowship House Wall,2nd & 4th Saturday: 12:00 PM - 4:00 PM,Sherry Powell,,9235 S Drexel Ave,Chicago,60619,,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00097,A90000,Woodlawn,FOODBOX,Food Box-Two/Woodlawn Org,Monday thru Saturday: 7:00 am - 6:30 pm,Ines Bolanos,Outstation for CDHS site (CDHS - Food Box Site),1508 E 63rd St,Chicago,60637,City Food Boxes,5,3,25,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00099,A90000,Woodlawn,FOODBOX,Food Box-Ministry of the Faith,Saturday: 12:00 am to 2:00 pm,Imam Spaia,Department of Family and Support Service(DFSS) Outstation - City Food Box Site,602 E 61st St,Chicago,60637,City of Chicago,20,3,5,3,1,"20,044",0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,BX00110,A90000,Greater Grand Crossing,FOODBOX,Inner-City Missions Network,Thursday: 1:00 pm - 3:00 pm; Emergency: Friday: 5:00 pm - 7:00 pm,Rene White,General Public Food Pantry. Clients can visit four times a month. ID Required.,7445 S South Chicago Ave,Chicago,60619,Cook County,5,3,5,3,1,0,0,"3,929",0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,CK00002,A00598,Englewood,SOUP KITCH,Community Kitchens -KKC,,John Upkong,,6401 S Sangamon St,Chicago,60621,,16,2,6,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,CP00034,A90086,West Pullman,CDHS-PRO,It Take A Village,Monday thru Sunday: 24 HRS,Alicia Montgomery,"women, children and men shelter",544 W 123rd St,Chicago,60628,Cook county,34,5,28,14,1,780,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,CP00040,A00226,Greater Grand Crossing,CDHS-PRO,Maria Shelter For Homeless Wm.,"B: 6:30-7:00 am, L:12:00-12:45 pm, D:5:00-5:45 pm",Angela Hicks,Shelter for women and children/transtitional. Referrals from DHS,7315 S Yale Ave,Chicago,60621,Closed Program,6,3,31,16,1,"11,606","11,105","10,014","16,285",,0,0,0,0,,0,0,0,0,,
ACTIVE,CP00042,A01240,Auburn Gresham,CDHS-PRO,CCHC Amani House,"Daily: B:7:00 am - 8:00 am, L:12:00 pm - 1:00 pm, D: 5:00 pm - 6:00 pm",Katrina Woods,Women and Children Shelter.,8025 S Honore St,Chicago,60620,Closed Program,17,3,31,16,1,"7,466","8,392","11,044","16,285",,0,0,0,0,,0,0,0,0,,
ACTIVE,CP00043,A90086,Ashburn,CDHS-PRO,Thelma's Place Interim Housing,Monday thru Sunday: 7:00 AM - 11:00 PM,Alicia Montgomery,women and children shelter,8040 S Western Ave,Chicago,60620,cook county,18,3,31,16,1,780,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,CP00045,A90086,Auburn Gresham,CDHS-PRO,Tab House I,Monday thru Sunday: 7:00 AM - 11:00PM,Alicia Montgomery,women and children shelter,8718 S Paulina St,Chicago,60620,cook county,21,4,35,18,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00005,A00446,Ashburn,DAY CARE,ACADEMY OF LEARNING INC.,"MON-FRI 24HRS B-7AM, L-12PM, S-3PM, D-5PM",LORRAINE HUNT,DAYCARE FACILTY OPERATES 24HRS WEEKLY,2914 WEST 87TH STREET,CHICAGO,60652,,18,3,36,18,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00006,A00291,Auburn Gresham,DAY CARE,Auburn Park Day Care/Kndgrn,"Monday-Friday: 6am- 6pm/B: 8:00-9:00am, L:11:00-12:00pm,S:2:00pm, D:5:00pm",Cheryl Morris,Day Care,741 W 79th St,Chicago,60620,Day Care,17,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,DC00014,A00105,Chatham,DAY CARE,Tiny Tots Villa Montessori, Mon thru Fri  6:30AM - 5:30 PM,Mildred Bradley,Day Care program for children,8128 S King Dr,Chicago,60619,Zip code 60619,6,4,34,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,DC00016,A00279,Kenwood,DAY CARE,Hyde Park Academy for Preschoo,Monday - Friday: B: 8:00 am; L: 11:30 am; S: 3:15 pm,Marjorie Jones,Day Care,4745 S Ellis Ave,Chicago,60615,Closed Program,4,3,26,13,1,"3,786","8,365","12,276","7,859",,0,0,0,761,,"91,800","41,479","34,622","20,862",,
INACTIVEFB,DC00017,A00500,West Pullman,DAY CARE,Giant Steps Learning Ctr II,"Mon.-Fri. 7-8am, 11:30am-12:30pm, afternoon snack circa 3:30pm",Syretta West,Day Care,106-108 W. 119th Street,Chicago,60628,,34,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,DC00019,A00278,Auburn Gresham,DAY CARE,Highland Day Care,Mon thru Fri: B: 7:30 am - 9:00 am; L: 11:00 am - 12:00 pm; S: 2:00 pm - 2:30 pm,Carmen Smith,Child Care 2-5 years old,7634 S Ashland Ave,Chicago,60620,Closed Program - Day Care,17,3,31,16,1,"12,623","11,612","5,921","4,061",,0,0,0,0,,"5,678","6,454","7,688","7,208",,
INACTIVEAG,DC00020,A00405,Greater Grand Crossing,DAY CARE,Itsy Bitsy People's Place,"B: 8:00 am - 9:00 am; L: 11:30 am - 12:30 pm, S: 3:00 pm - 3:30 pm",Mary Sawyer,Day Care,7419 S Cottage Grove Ave,Chicago,60619,Cook County,8,3,34,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,DC00021,A00266,Washington Heights,DAY CARE,Roseland Day Care & Kindergtn.,Monday - Friday:B: 8:00 am - 9:00 am; L: 11:30 am - 12:30 pm; S: 3:00 pm,Sylvia Fraizer,Day care,10520 S Halsted St,Chicago,60628,Closed Program,34,5,27,14,1,"9,717","10,269","10,308","8,719",,0,0,0,0,,"51,630","71,419","71,599","71,997",,
INACTIVEFB,DC00028,A00160,West Pullman,DAY CARE,Children's Center Inc/Outreach,"Monday-Friday:  B: 8:00-8:45, L:12:00, S:3:00",Rosalind Cotton,Day Care,12803 S Halsted St,Chicago,60628,Day Care,34,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00029,A00234,West Pullman,DAY CARE,Wentworth Community Services,"Daily: B: 8:00 am - 9:00 am, L: 11:30 am - 12:30 pm, S: 3:00 - 4:00 pm",Rachel Varnado,DAYCARE FACILITY 6am-6pm,11640 S Wentworth Ave,Chicago,60628,Cook County,34,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00031,A00445,Avalon Park,DAY CARE,Head of The Class Early CDC,"Monday-Friday: 6:30am-6pm / B:9:00am, L:12:00pm, S:3:00pm",Dr. William Horton,Daycare,1900 E 87th St,Chicago,60617,Day Care,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,DC00033,A00217,West Pullman,DAY CARE,Bunnyland Child Care Center #2,"Monday thru Friday: B:7:00 - 8:00 am, L:11:30 - 12:30 pm, S:2:30 - 3:30 pm",Bernice Singleton,Day Care.,545 W 119th St,Chicago,60628,Closed Program,34,5,28,14,1,"11,829","8,993","9,275","13,644",,0,0,0,0,,"54,510","40,234","36,612","42,731",,
INACTIVEAG,DC00039,A00910,Auburn Gresham,DAY CARE,D & D's Tiny Tots,Mon-Fri 6A-6P,Monica Gregory,"Day Care program that serves children brkfst, lunch and afternoon snack daily.",8000 South Damen,Chicago,60620,,18,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00040,A00791,Chatham,DAY CARE,"J.P.E. Day Care Center, Inc",Mon-Fri B: 8:30-9:00 am; L: 11:30-12:30; S: 3:00-3:30 pm,Jacqueline Curington,JPE is a child care center that serves children 2-6 y/o.,8625 South Cottage Grove,Chicago,60619,Day Care,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00042,A00379,West Pullman,DAY CARE,Children's Center Outreach,Monday thru Friday B: 8:00-8:45 L: 12:00  S: 3:00,Donna Richardson,Day Care,12803 South Halsted,Chicago,60628,60628,34,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00044,A00569,Auburn Gresham,DAY CARE,Taylor Day School,"B:7:00-8:30am, L:11:30-12p.m., S:2:30-3pm",Myrtle Taylor,Day Care for children ages 2- 5 years age,1414 W 87th St,Chicago,60620,cook county,21,4,35,18,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,DC00054,A01203,Washington Heights,DAY CARE,Humpty Dumpty Daycare,Mon-Fri 7:30 a.m.- 3:00 p.m,Beverly Higgens,Daycare,1126 West 99th,Chicago,60643,,34,5,27,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,DC00055,A01292,Chatham,DAY CARE,Tots Express Learning Center,Monday - Friday: B: 8:30 am-9:30 am; AM S: 10:00 am; L: 11:45 am; PM S: 3:00 pm,Roshonda Furlow,Closed Day Care - three meals a day.,8950 S Cottage Grove,Chicago,60619,Chatham,8,4,34,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,DC00058,A01292,Calumet Heights,DAY CARE,Tots Express Learning Center,Monday - Friday: B: 8:30 am-9:30 am; AM S: 10:00 am; L: 11:45 am; PM S: 3:00 pm,Roshonda Furlow,Private Day Care for 69 children: 6 weeks and 6 years funded through Action for Children and private tuition.,9031 S Stony Island Ave,Chicago,60617,Closed Program,8,4,33,17,1,"32,655","28,616","12,352","25,640",,0,0,0,0,,"27,705","26,830","13,094","15,721",,
INACTIVEAG,FB00078,A90098,Greater Grand Crossing,FOODBOX,St. Columbanus,Monday 2nd & 4th: 6:00 p.m. - 8:00 p.m.,LaVerne Morris,General Public Food Pantry. Emergency Food Box Program,331 E 71st St,Chicago,60619,Zip Code: 60619 and 60637,6,3,32,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,FB00079,A90098,Greater Grand Crossing,FOODBOX,Inner-City Missions Network,Tuesday: 5:00 pm - 7:00 pm,Rene White,General Public Food Pantry. ID Required.,7445 S South Chicago Ave,Chicago,60619,Cook County,5,3,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,GN00016,A00496,,PANTRY,APOSTOLIC DELIVERANCE TEMPLE,2/4 SAT 10-NOON,Paul Shields,Pantry (mass distribution),3520 WEST 137TH STREET,ROBBINS,60472,,,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00393,A00539,,PANTRY,VINCENT U.M. CHURCH,Every Wed-12PM-2PM,ELAINE STRAUGH,PANTRY OPEN TO PUBLIC,657 E 91ST PLACE,CHICAGO,60619,Cook County,8,4,34,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,GN00602,A00689,,SOUP KITCH,ZION TEMPLE PENTACOSTAL CHURCH,,KAREN DAVIS,,6122 SOUTH INDIANA AVENUE,CHICAGO,60637,,20,2,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00709,A00796,,SPECIAL,SHILOH MISSIONARY BAPTIST CH.,,HELEN HUMPHREY,,4840 SOUTH DORCHESTER,CHICAGO,60615,,4,3,25,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00713,A00800,,SPECIAL,ENGLEWOOD COMMUNITY HEALTH,,GERALDINE CARPENTER,,945 W. 69TH STREET,CHICAGO,60621,,6,2,32,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00714,A00801,,SPECIAL,ELLEN DOSSIE,,LOUISE WINFREE,,8959 SOUTH THROOP,CHICAGO,60620,,21,4,27,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,GN00723,A00810,,SPECIAL,LIGHT OF THE WORLD CHURCH,,EMMA DORTCH,,5735 SOUTH STATE STREET,CHICAGO,60621,,20,2,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00729,A00816,,SPECIAL,CHRISTIAN HOPE CHURCH,,CHARLIE MAE EVANS,,7559 SOUTH ASHLAND,CHICAGO,60620,,17,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,GN00735,A00822,,SPECIAL,NOAH'S ARK,,JUANITA MASSEY,,7301 SOUTH ABERDEEN,CHICAGO,60629,,17,2,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,HIV00006,A00399,Greater Grand Crossing,PANTRY,Vital Bridges South,"Thursday: 11:00 am - 2:00 pm; 3:30 pm - 5:00 pm, Friday/Saturday: 11:00am-2:00pm",James Hoskins,Pantry For program clients only that are HIV positive (referrals only). Clients can visit every week or every two weeks and double up.,151 W 75th St,Chicago,60620,Closed Program,6,3,32,16,1,"67,317","51,970","55,266","55,593",,"3,425","3,883","3,469","2,848",,0,0,0,274,,
INACTIVEFB,KC00010,A00092,Englewood,KIDS CAFE,Will Feed/PEACE Kids Cafe,"Monday, Wedsnesday and Friday: 5:00 pm - 6:00 pm",Chyrisse Dunnorm,Meals served 5-6pm. Serving CCK meals.,6455 S Peoria St,Chicago,60621,Englewood,16,2,6,3,1,"1,420",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC000138,A70009,Woodlawn,KIDS CAFE,Carnegie Elementary School,,Nina Logino,,1414 E 61st Pl,Chicago,60637,,20,3,25,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC000139,A70009,Washington Park,KIDS CAFE,Dusable Museum,,Robert Paige,,740 E 56th Pl,Chicago,60637,,20,3,26,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00014,A00582,Auburn Gresham,KIDS CAFE,TSA: LAFLIN KIDS CAFE,,ENVOY JIM BRACEY,,,,,,21,4,35,18,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC000140,A70009,Woodlawn,KIDS CAFE,First Presbyterian (MAGIC),,Robert Aspholm,,6400 S Kimbark Ave,Chicago,60637,,20,3,26,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00015,A00923,Greater Grand Crossing,KIDS CAFE,The Love Foundation,6-6:45 PM M-Th for meals,Quentin Love,"Kids Cafe program receiving CCK meals. Program operates 3-7pm. Serving 20. Food Served at Shipping site, program held at General Address.",524 East 75th Street,CHicago,60619,,6,3,32,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00027,A70009,Markham,KIDS CAFE,Link and Option Ctr Kids Cafe,"Monday, Tuesday, Wednesday and Thursday from 3:00 pm - 3:30 pm",Rosey Begay,Kid's Cafe (afterschool meals) for participants of Link and Option Center program.,15652 Homan Ave,Markham,60428,,,5,30,15,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00033,A01017,Robbins,KIDS CAFE,"Woodlawn, WRAP, Inc Kids Cafe",,Raquel Snyder,,13409 S Woodlawn Ave,Robbins,60472,,,5,28,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00045,A01040,Woodlawn,KIDS CAFE,Living Room Cafe,,Theresa Perry,,6422 S. Cottage Grove,Chicago,60637,Kids Cafe,20,3,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC000461,A00083,West Pullman,KIDS CAFE,Straford Memorial Seventh Day,,Yabrien Jan Truss,SFSP 15,,,,Open,34,5,28,14,1,0,0,0,"1,145",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC000468,A70009,Washington Heights,KIDS CAFE,Victory Cathedral Faith Church,,Shonda Williams,,,,,SFSP 15,34,5,27,14,1,0,0,0,654,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00055,A01073,Calumet Heights,KIDS CAFE,Wyatt Community Center,,Monica Thomas,,8950 S Stony Island Ave,Chicago,60617,,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00058,A01123,Avalon Park,KIDS CAFE,Sullivan House,,Jacquelyn Love,,8164 S South Chicago Ave,Chicago,60617,Kids Cafe,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00060,A70009,Greater Grand Crossing,CACFP,Gary Comer Youth Center,MTWRF 6:00-7:30 pm  ***SFSP Breakfast:8:30AM-10:00AM & Lunch:12:00PM-2:00PM,Shacana Watkins,CACFP 2015 - Hot / SFSP 2015 - Hot,7200 S Ingleside Ave,Chicago,60619,Closed Program,5,3,5,3,1,"16,148","14,354","17,282","33,956",,0,0,"1,310",0,,0,0,0,0,,
INACTIVEFB,KC00083,A70009,Washington Park,KIDS CAFE,Washington Park,,Janie Collins,Afterschool Program,5531 S Martin Luther King Dr,Chicago,60637,Washington Park,20,3,26,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00087,A01366,West Englewood,KIDS CAFE,Ogden Park,,Ron Wright,Afterschool Program,6500 S Racine Ave,Chicago,60636,Englewood,17,2,32,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00093,A00495,Avalon Park,KIDS CAFE,Messiah St. Batholomew,,Phillip Mantle,,8255 S Dante,Chicago,60619,,8,4,33,17,1,269,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00098,A70009,Blue Island,KIDS CAFE,Blue Island Park District (CM),,Candace Cantello,,12804 Highland Ave,Blue Island,60406,,,5,27,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00107,A70009,Washington Park,KIDS CAFE,CREDO (CM),,Tammye Mathews,,208 E. 61st St.,Chicago,60637,,20,2,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00111,A70009,Englewood,KIDS CAFE,Salvation Army Red Shield (CM),MTWTF - Breakfast: 8:30AM-9:30AM and Lunch: 12PM-1PM,Albert Green,SFSP 2015,945 West 69th Street,Chicago,60621,Open site,6,2,32,16,1,0,756,0,"1,355",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00112,A70009,South Shore,SFSP,YMCA- South Side,MTWRF Breakfast 8:00am-9:00am; Lunch 11:30am-1:00pm,Lavonna Loving,SFSP 2016 - Cold,6330 S Stony Island Ave,Chicago,60637,Closed Program,20,3,26,13,1,"45,894","18,922","6,677","15,308",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00117,A70009,Auburn Gresham,SFSP,Changing Life Educ. Inititive,M-F Breakfast 9:00am-9:30am; Lunch 12:00pm-1:00pm,Audrey Johnson,SFSP 2016 - Hot,7901 S. Sangamon,Chicago,60620,Open,17,3,31,16,1,"3,407","2,264","1,622","2,719",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00123,A70009,Englewood,KIDS CAFE,Beloved (CM),,Vickie Snow,,6430 South Harvard,Chicago,60621,,20,2,6,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00138,A70009,Woodlawn,KIDS CAFE,Carnegie Elementary School,,Nina Longino,,1414 E 61st Pl,Chicago,60637,,20,3,25,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00139,A70009,Washington Park,KIDS CAFE,Dusable Museum,,Robert Paige,,740 E 56th Pl,Chicago,60637,,20,3,26,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00140,A70009,Woodlawn,KIDS CAFE,First Presbyterian (MAGIC),,Rob Aspholm,,6400 S Kimbark Ave,Chicago,60637,,20,3,26,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00151,A70009,Douglas,KIDS CAFE,Institute for Positive Living,,Marrice Coverson,,3620 S Rhodes Ave,Chicago,60653,,4,3,26,13,1,935,"1,031",0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00162,A70009,Washington Heights,CACFP,South Side Help Center,MTWH 4:00 - 5:00pm,Tasia Bell,CACFP 2015 - Cold,10420 S Halsted St,Chicago,60628,Closed Program,34,5,27,14,1,"7,511","3,538","1,353","5,904",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00174,A70009,Woodlawn,KIDS CAFE,Woodlawn Childrens Promise,Monday - Friday: B: 8:00 am - 8:30 am; L: 12:00 pm - 1:00 pm,Garrette Horne,Cold Meals: Start Date: 6/25/2012 to 8/03/2012,6020 S Langley Ave,Chicago,60637,,20,3,5,3,1,"3,541",0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00177,A01447,Englewood,CACFP,TSA: Englewood Red Shield Cent,"Monday, Wenesday, Thursday, Friday: 12:00 pm - 12:30 pm",Captain Becky Simmons,Cold Meals: Start Date: 6/18/2012 to 7/27/2012,945 W 69th St,Chicago,60621,,6,2,32,16,1,990,0,878,"4,729",,0,0,0,0,,0,0,0,0,,
INACTIVEFB,KC00182,A70009,Ashburn,KIDS CAFE,Daughters of Destiny Min.,"Tues, Thur, Fri: B: 10:00-11:00 am; L: Mon, Tues, Thur, Fri: 12:30-1:30pm",Apostle Bridget Outlaw,Cold Meals: Start Date: 6/22/2012 to 8/31/2012,3406 W 79th St,Chicago,60652,,18,3,32,16,1,150,0,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00198,A70009,Greater Grand Crossing,CACFP,A Knock at Midnight,MTWHF 4:00-6:00 P.M.,Ida Brown,CACFP 2015 - Cold,400 W 76th St,Chicago,60620,Closed Program,6,3,31,16,1,"6,861","2,343","1,798","5,960",,0,0,0,0,,0,0,0,0,,
INACTIVEAG,KC00210,A70009,Washington Park,KIDS CAFE,Church of the Good Shepherd,"Tuesday, Thursdays, Friday 11:00am-1:00pm",,SFSP 7/2/2013-8/2/2013,5700 S Prairie,Chicago,60637,Feeding Only Site,20,2,5,3,1,0,543,0,0,,0,0,0,0,,0,0,0,0,,
