Community Area,Number,Rate,Students Eligible
Glencoe,222,2.50%,na
Matteson,"4,675",24.40%,77%
Morgan Park,"5,524",24.10%,81%
Archer Heights,399,3.00%,96%
Hickory Hills,"1,825",13.10%,46%
Blue Island,"3,557",15.40%,91%
East Garfield Park,"8,885",43.00%,100%
Tinley Park,"4,517",7.90%,35%
Beverly,"2,435",11.70%,49%
Lyons,704,6.60%,80%
Austin,"33,681",34.50%,99%
Westchester,"1,208",7.20%,10%
Elgin,"6,838",6.10%,0
Golf,14,3.00%,na
Hometown,261,6.00%,66%
Stickney, na ,na,77%
Palatine,"5,743",8.30%,43%
Hillside,"1,220",14.90%,78%
Dolton,"8,056",34.60%,99%
Hodgkins,88,4.20%,83%
Edgewater,"9,301",17.00%,91%
Melrose Park,892,3.50%,100%
Flossmoor,"1,338",14.10%,36%
Calumet City,"10,895",29.30%,92%
Berwyn,"2,665",4.70%,86%
Alsip,"2,347",12.10%,59%
Douglas,"7,377",36.30%,100%
Edison Park,681,6.00%,70%
Buffalo Grove,"3,369",8.10%,na
Montclare,685,5.30%,94%
Broadview,"2,085",26.20%,100%
Markham,"3,717",29.30%,100%
Elk Grove Village,"2,500",7.50%,61%
Streamwood,"1,921",4.70%,56%
Portage Park,"4,689",7.20%,95%
Near South Side,"3,158",14.10%,69%
Albany Park,"5,172",9.90%,98%
Oak Lawn,"5,812",10.20%,46%
Phoenix,793,38.00%,100%
Palos Park,336,6.80%,na
Countryside,479,8.00%,72%
Burr Ridge,667,6.20%,na
Lemont,"1,255",7.60%,10%
La Grange Park,"1,269",9.30%,20%
Lincolnwood,836,6.60%,na
Barrington,825,7.80%,na
Dixmoor,725,20.00%,100%
Cicero,"2,278",2.70%,93%
Prospect Heights,786,4.80%,33%
West Garfield Park,"7,483",42.20%,100%
Park Ridge,"2,520",6.70%,54%
Logan Square,"6,265",8.40%,89%
Fuller Park,"1,081",44.00%,100%
Greater Grand Crossing,"14,190",43.90%,96%
Oak Park,"7,187",13.80%,21%
Summit,927,8.10%,82%
Wheeling,"2,545",6.70%,72%
Forest View,15,2.10%,na
Stone Park, na ,na,100%
Riverdale - Chicago,"4,196",59.20%,100%
South Lawndale,"7,339",9.90%,99%
Mount Prospect,"3,994",7.30%,48%
Oak Forest,"2,673",9.50%,45%
Hegewisch,868,9.70%,91%
O'Hare,"2,306",17.10%,94%
Glenwood,"2,133",23.90%,87%
South Deering,"4,491",29.30%,98%
West Englewood,"14,717",45.80%,93%
Oakland,"2,651",41.30%,100%
Kenilworth,66,2.50%,na
